id,name,gender,birth_date,height,weight,country_id
83,Bogdan Petrov,Male,2008-06-10,171.4,46.7,5
84,Ayana Wanjiku,Female,1986-08-13,171.5,61.1,42
85,Carlos Esposito,Male,2000-08-20,184.9,90.9,30
86,Priya Amiranashvili,Female,1984-12-22,160.0,77.4,6
87,Anjali Kowalczyk,Female,1985-02-19,213.2,71.6,43
88,Natalya Rossi,Female,1987-08-07,197.9,92.4,44
89,Giulia Yamamoto,Female,1987-12-23,186.7,77.5,1
90,Daniel Rodriguez,Male,1997-12-24,194.2,90.7,5
91,Rahul Sargsyan,Male,1982-01-27,192.6,59.7,45
92,Kimberly Romano,Female,1990-09-03,188.2,84.2,6
93,Ketevan Kim,Female,1985-10-14,167.1,119.6,22
94,Dafne Kuznetsov,Female,1999-10-05,175.2,79.8,22
95,Anthony Jackson,Male,2000-07-28,187.4,68.5,46
96,Irina Lee,Female,1991-06-02,181.2,90.3,14
97,Camelia Rossi,Female,2007-07-17,199.3,87.0,10
98,Monika Anderson,Female,2008-01-05,195.9,60.6,12
99,Gunel Enkhtaivan,Female,2000-08-27,183.5,65.6,3
100,Vahram Bekele,Male,2003-01-15,171.6,66.4,47
101,Salome Kovalenko,Female,1993-07-11,182.5,65.8,38
102,Christine Kovalenko,Female,1998-09-26,193.3,86.0,38
103,Siranush Kovalenko,Female,2003-04-27,182.7,74.4,36
104,Claire Dinu,Female,2006-11-25,176.8,63.0,17
105,Elmar Watanabe,Male,1996-03-02,162.3,77.7,48
106,Sofia Volkov,Female,1984-02-11,183.7,74.9,6
107,Lisa Wanjiku,Female,1988-02-06,177.1,100.6,40
108,Svetlana Kwon,Female,2008-11-04,190.5,106.7,40
109,Almaz Babayev,Female,1994-09-26,211.3,76.7,48
110,Sandra Kuznetsov,Female,1987-10-16,193.1,97.4,10
111,Krzysztof Lee,Male,1991-02-02,168.0,71.4,33
112,Deepika Singh,Female,2007-11-22,172.8,51.1,49
113,Erik Constantin,Male,1998-03-09,186.0,95.1,50
114,Erik Thomas,Male,1997-08-08,194.5,106.6,23
115,Julien Bianchi,Male,2001-01-18,184.2,78.1,11
116,Deepika Ivanov,Female,1985-09-16,177.1,71.2,34
117,Lisa Hasanov,Female,1986-04-02,184.8,99.7,43
118,Krzysztof Kovalenko,Male,2002-12-20,183.7,90.7,5
119,Enkhjargal Lopez,Female,2003-06-11,178.8,73.1,51
120,Nesta Babayev,Male,1989-11-11,184.7,69.1,50
121,Nizami Jackson,Male,1985-01-14,173.9,68.7,17
122,Patricia Brown,Female,1993-12-09,187.5,73.4,7
123,Marco Njoroge,Male,1995-10-08,175.1,69.9,49
124,Gabriela Biles,Female,1993-01-08,180.5,64.8,36
125,Tomasz Kamau,Male,2007-05-06,191.9,60.6,1
126,Tatiana Clark,Female,1999-10-25,183.3,80.9,5
127,Nancy Esposito,Female,1984-04-23,169.7,53.5,52
128,Rahul Kaminski,Male,1992-09-17,180.7,62.0,35
129,Quentin Yadav,Male,2004-03-09,163.3,57.6,40
130,Kiran Farah,Male,2005-05-01,170.0,83.5,28
131,Kipchoge Hernandez,Male,2004-07-11,170.6,91.4,45
132,Kamran Gheorghe,Male,1987-04-15,181.4,60.6,53
133,Nataliya Wanjiku,Female,1992-09-28,185.8,117.5,31
134,Dorothy Williams,Female,2006-05-08,199.9,90.3,45
135,Elaine Kuznetsov,Female,1993-08-12,172.0,112.6,39
136,Mohammed Watanabe,Male,1992-03-11,195.6,82.3,48
137,Alexei Thomas,Male,1985-12-26,168.9,62.8,7
138,Laure Constantin,Female,1990-03-27,177.2,76.4,42
139,Miho Melnyk,Female,1989-09-23,173.1,73.5,50
140,Tirunesh Kravchenko,Female,1996-12-27,164.0,66.7,14
141,Vahram Gebremariam,Male,2001-09-27,163.1,84.1,12
142,Arjun Dibaba,Male,1985-04-07,184.6,91.4,36
143,Carlos Ferrari,Male,2000-10-09,194.8,78.4,1
144,Magdalena Liu,Female,1991-11-09,183.2,87.8,53
145,Adam Constantin,Male,1989-11-23,198.0,82.2,53
146,Aurelie Jackson,Female,2008-02-21,194.7,72.8,29
147,Lisa Shah,Female,2001-02-12,198.1,65.0,4
148,Ashley Bekele,Female,1987-03-16,181.0,85.0,7
149,Sota Sato,Male,1995-06-24,173.9,76.0,22
150,Erik Dubois,Male,1989-02-08,181.2,65.9,45
151,Nesta Alekseyev,Male,2007-09-01,176.4,61.0,42
152,William Martin,Male,1984-07-17,158.3,106.0,11
153,Sunita Karimov,Female,1989-11-22,164.6,79.7,34
154,Adrien Williams,Male,2004-08-12,186.5,49.5,7
155,Sarah Grigoryan,Female,1982-10-06,155.1,136.6,2
156,Olga Gonzalez,Female,2002-07-24,200.3,73.2,17
157,Valentina Perez,Female,2007-09-15,164.7,90.0,2
158,Linda Han,Female,1992-06-21,161.2,79.5,7
159,Shota Tediashvili,Male,1996-12-12,165.4,70.3,17
160,Sabina Perez,Female,1999-08-09,168.4,66.6,14
161,Marta Dibaba,Female,2007-03-26,163.0,64.9,19
162,Kamran Njoroge,Male,1982-08-18,167.3,62.5,39
163,Naim Karimov,Male,2001-02-01,166.9,92.9,6
164,Nigar Kiros,Female,2004-06-07,188.6,81.3,8
165,Donna Tadesse,Female,2003-11-26,181.0,78.4,54
166,Iryna Choi,Female,2009-05-02,184.0,62.2,7
167,Lars Kovalev,Male,1999-12-23,186.3,74.3,39
168,Charles Han,Male,1990-04-01,192.0,91.9,17
169,Emily Kumar,Female,1987-11-13,205.6,127.6,42
170,Luca Greco,Male,1986-12-10,182.3,85.4,32
171,Alejandro Lopez,Male,2004-11-03,169.7,83.6,13
172,Xia Haile,Female,1994-07-12,157.4,74.6,55
173,Adam Clark,Male,1992-02-11,182.4,74.1,22
174,Irina Biles,Female,2008-07-19,178.0,71.8,56
175,Nancy Shevchenko,Female,1982-02-10,173.1,90.4,42
176,Gabriela Martin,Female,2005-12-22,171.8,67.4,10
177,Haile Bianchi,Male,2007-07-28,168.2,104.3,55
178,Mykhailo Yang,Male,1983-10-09,174.9,71.7,40
179,George Davaadorj,Male,1991-10-25,169.6,63.7,12
180,Svetlana Kwon,Female,2008-12-16,178.4,90.7,12
181,Isabelle Martin,Female,1986-07-20,190.8,84.6,6
182,Hiroshi Volkov,Male,1983-04-27,165.4,76.7,5
183,Yuna Shevchenko,Female,1991-09-12,175.4,64.0,25
184,Tigran Williams,Male,1994-03-21,188.8,63.2,22
185,Abebe Romano,Male,1988-09-27,183.7,75.1,47
186,Sakura Wu,Female,1993-04-02,180.7,99.9,47
187,Luis Choi,Male,1988-09-21,174.4,70.7,36
188,Kamran Silva,Male,1989-02-08,172.1,71.8,57
189,Yohan Dibaba,Male,1982-11-13,168.7,148.8,55
190,Claire Ito,Female,1999-11-02,176.1,87.7,30
191,Mary Taylor,Female,1992-04-24,190.3,95.8,41
192,Xia Garcia,Female,1983-01-10,191.4,89.9,14
193,Jennifer Yoon,Female,2002-12-05,198.4,96.7,16
194,Sun Davis,Male,2008-12-04,173.5,75.6,35
195,Pierre Kipchoge,Male,1993-12-20,169.4,62.1,31
196,Yuki Bondarenko,Female,1999-04-01,186.8,52.5,17
197,Jessica Fraser-Pryce,Female,1983-03-28,187.2,68.8,47
198,Lela Martin,Female,1986-02-12,203.4,92.6,38
199,Mark Yohannes,Male,1991-08-26,193.3,99.5,17
200,Patricia Nozadze,Female,1985-12-19,168.2,48.7,54
201,Yohan Dinu,Male,1982-08-28,194.2,56.5,22
202,Lisa Grigoryan,Female,1995-06-04,159.3,98.9,43
203,Sun Ionescu,Male,1999-06-27,183.6,83.7,12
204,Nino Ferrari,Female,1992-09-12,165.3,79.4,5
205,Tomasz Yohannes,Male,2008-11-27,162.2,84.4,3
206,Adam Li,Male,2006-07-22,168.7,62.3,23
207,Lilit Batjargal,Female,1989-04-07,184.5,71.5,29
208,Nataliya Navruzov,Female,1988-12-14,190.7,66.0,18
209,Mykola Martin,Male,1987-05-07,190.0,83.2,44
210,Elnur Yadav,Male,1997-07-26,181.0,84.9,25
211,Marian Volkov,Male,2000-08-06,164.3,68.3,1
212,William Zhao,Male,1999-10-02,188.1,69.8,9
213,Lisa Ferreira,Female,2002-04-22,202.9,104.2,21
214,Deepika Gebremariam,Female,1997-05-18,156.3,76.7,22
215,Jiajun Park,Male,1982-11-14,166.0,94.4,13
216,Elmar Meyer,Male,1996-07-15,155.2,123.4,58
217,Gunther Romano,Male,1990-02-10,163.8,125.9,18
218,Patricia Batjargal,Female,1982-09-05,183.7,114.9,1
219,Sergei Fischer,Male,2003-02-06,176.1,59.5,39
220,Anthony Robert,Male,1990-02-07,167.9,77.0,59
221,Elena Shah,Female,2005-11-24,176.1,64.4,10
222,Adam Clark,Male,2009-09-21,183.0,76.7,6
223,Donna Gheorghe,Female,1993-09-03,167.5,63.9,10
224,Daniel Dupont,Male,1998-04-02,189.3,56.6,41
225,Luca Singh,Male,1998-10-21,175.4,94.7,1
226,Nikolai Clark,Male,1993-11-09,169.2,61.9,12
227,Jennifer Schmidt,Female,2008-03-19,176.7,101.9,58
228,Nancy Lee,Female,1995-10-16,194.1,62.3,51
229,Nikolai Singh,Male,1997-03-04,166.1,75.6,25
230,Zurab Makarov,Male,1992-01-25,173.9,130.1,25
231,Alexandra Han,Female,1982-02-10,177.5,70.3,11
232,Maxime Mirzayev,Male,2001-05-28,176.8,61.4,11
233,Vasyl Dibaba,Male,1986-04-15,175.8,66.2,49
234,Lisa Garcia,Female,2001-04-12,172.6,116.4,24
235,Sota Suzuki,Male,1988-01-12,171.1,67.2,17
236,Hasmik Munkhbat,Female,1991-06-12,155.2,71.6,30
237,Alina Tashkentov,Female,2001-12-15,191.7,89.9,36
238,Laure Chikovani,Female,1992-01-23,179.2,62.1,14
239,Lars Müller,Male,1982-05-07,166.6,58.1,48
240,Lela Hernandez,Female,1994-10-28,171.3,44.5,27
241,Kiran Dibaba,Male,1987-09-15,160.7,62.8,22
242,Meseret Kim,Female,1996-12-25,181.3,94.2,39
243,Mihai Wu,Male,1994-01-06,172.0,81.6,54
244,Vikram Silva,Male,2001-06-12,167.2,94.7,60
245,Isabelle Martirosyan,Female,1994-12-15,181.7,96.3,56
246,Pedro Lopez,Male,1989-05-23,185.7,96.7,10
247,Siranush Phelps,Female,2003-03-13,179.8,89.9,46
248,Piotr Robert,Male,1995-11-05,183.4,56.4,10
249,Hakki Alekseyev,Male,1995-11-24,186.2,110.2,25
250,Alejandro Rossi,Male,1994-09-01,190.7,78.9,7
251,Deepika Choi,Female,2001-02-14,194.3,87.7,33
252,Sabina Kravchenko,Female,2003-06-01,173.5,70.0,43
253,Almaz Rodriguez,Female,1984-08-12,167.2,97.7,38
254,Paolo Kowalczyk,Male,2002-12-02,177.5,55.9,34
255,Akiko Shah,Female,2008-11-07,198.8,88.4,18
256,Marco Lochte,Male,2002-03-16,173.7,66.9,31
257,Sifan Volkov,Female,2009-12-13,178.1,81.7,61
258,Iryna Batjargal,Female,2004-02-17,163.0,85.5,2
259,Hasmik Garcia,Female,1988-09-27,173.3,81.7,46
260,Mark Melnyk,Male,2003-02-02,166.2,85.3,17
261,Fabio Gantulga,Male,1986-07-27,188.9,61.2,15
262,Yuki Nozadze,Male,1988-04-19,185.8,78.1,50
263,Salome Yamamoto,Female,1992-10-15,186.3,70.4,49
264,Priya Popescu,Female,1995-07-01,169.9,63.9,1
265,Anthony Taylor,Male,1995-06-05,165.9,65.8,37
266,Naoto Bianchi,Male,2008-12-26,175.5,99.1,1
267,Jessica Greco,Female,1993-01-11,167.0,95.2,53
268,Maria Mwangi,Female,2005-03-11,168.8,65.0,47
269,Lasha Nozadze,Male,2002-04-03,190.2,88.1,20
270,Alejandro Kowalczyk,Male,1990-03-15,172.1,84.1,19
271,Patricia Oliveira,Female,1987-02-10,179.2,101.4,58
272,Henrik Suzuki,Male,2008-05-07,188.9,91.5,50
273,Zurab Hernandez,Male,1994-10-18,163.2,63.5,49
274,Tamar Romano,Female,2002-09-09,193.4,62.4,18
275,Pierre Müller,Male,1991-03-14,161.8,49.9,32
276,Rahul Yang,Male,1989-10-06,192.2,60.8,36
277,Michelle Popov,Female,2006-03-06,170.4,82.5,48
278,Miho Adeyemi,Female,1994-08-05,191.5,70.0,59
279,Alina Kravchenko,Female,1987-06-28,185.2,67.8,45
280,Elaine Anderson,Female,2002-09-18,155.2,53.9,11
281,Florent Chikovani,Male,2005-08-27,191.1,87.2,23
282,Gagik Ionescu,Male,2007-05-11,168.4,83.0,16
283,Luca Babayev,Male,1997-01-25,178.8,53.5,45
284,James Fischer,Male,2009-08-16,179.8,72.7,11
285,Lela Gantulga,Female,1983-04-02,175.0,74.8,37
286,Alina Alekseyev,Female,1991-09-06,171.1,69.5,33
287,Claire Nozadze,Female,1996-09-07,191.0,104.4,5
288,Justyna Grigoryan,Female,1994-03-20,177.9,81.3,24
289,John Petrov,Male,1987-05-09,166.6,70.3,28
290,Aysel Kovalenko,Female,1994-01-21,197.3,57.2,36
291,Laure Garcia,Female,2005-05-27,187.0,62.5,1
292,Tirunesh Lochte,Female,1994-04-12,166.0,91.4,17
293,Yuki Oliveira,Male,1994-12-28,189.3,60.3,27
294,Quentin Alekseyev,Male,1982-02-11,197.8,90.6,11
295,Josef Wu,Male,2004-05-04,177.6,82.0,32
296,Alina Santos,Female,1992-08-02,157.6,60.5,35
297,Claire Sokolov,Female,1987-11-26,172.9,85.5,18
298,Priya Mwangi,Female,2004-12-22,164.0,59.5,37
299,Lilit Farah,Female,1999-09-21,176.2,78.6,11
300,Ayana Davaadorj,Female,1984-06-18,182.1,70.0,9
301,Isabelle Petrosyan,Female,1989-11-02,183.4,67.5,15
302,Giulia Davaadorj,Female,1984-11-10,180.2,75.4,9
303,Sandra Robert,Female,1982-01-08,179.0,68.1,1
304,Franz Li,Male,2005-01-03,159.5,73.2,62
305,Agnieszka Bekele,Female,1992-08-13,177.9,88.7,39
306,Sandra Yuldashev,Female,1994-12-03,147.7,71.1,27
307,Alina White,Female,1999-09-25,169.1,147.9,6
308,Sarah Shevchenko,Female,1991-03-19,179.5,60.1,61
309,Piotr Bekele,Male,1990-03-19,188.0,61.4,39
310,Mykola Petrosyan,Male,1985-07-25,185.2,82.6,37
311,Giulia Shevchenko,Female,1986-09-08,191.2,82.4,49
312,Anthony Aliyev,Male,1989-06-28,184.7,70.2,32
313,Mohammed Santos,Male,1988-12-06,157.9,51.3,23
314,Charles Alekseyev,Male,1988-04-20,186.9,91.0,7
315,Salome Clark,Female,1989-08-09,168.3,51.2,54
316,Akiko Mwangi,Female,2004-11-16,191.8,85.2,13
317,Shota Grigoryan,Male,2005-11-21,194.7,83.0,43
318,Nino Jung,Male,2009-07-23,175.0,84.6,55
319,Hiroshi Batjargal,Male,2008-07-22,179.6,100.4,36
320,Usain Adeyemi,Male,2007-09-21,168.8,86.5,52
321,Piotr Yuldashev,Male,2002-02-02,186.0,70.2,29
322,Oleksandr Farah,Male,2006-08-20,174.7,104.0,33
323,Karen Dibaba,Female,2001-03-25,153.5,60.4,39
324,Nancy Johnson,Female,2009-03-03,161.8,67.4,8
325,Alina Lochte,Female,1989-05-12,179.2,61.7,39
326,Hans White,Male,2003-02-26,185.1,66.7,25
327,Susan Kipchoge,Female,1986-01-18,191.6,84.7,15
328,Lars Haile,Male,1982-04-13,181.5,89.4,34
329,Kimberly Moore,Female,1987-10-02,187.3,62.3,54
330,Christopher Haile,Male,1982-09-16,199.4,74.9,37
331,Haile Hakobyan,Male,2008-07-17,168.3,96.4,17
332,Michael Kovalenko,Male,1988-05-06,191.0,68.4,46
333,Katarzyna Moore,Female,2000-07-25,179.8,86.9,36
334,Dafne Anderson,Female,1998-06-06,174.4,58.4,14
335,Carlos Alves,Male,2001-09-22,176.0,76.1,48
336,Aysel Garcia,Female,2003-08-03,164.1,54.2,28
337,Haile Costa,Male,1996-08-24,188.3,71.5,14
338,Shota Greco,Male,2004-05-08,178.5,117.8,14
339,Lars Gebremariam,Male,2008-06-19,184.2,82.6,11
340,Ramil Miller,Male,1997-08-25,209.0,78.3,19
341,Aurelie Bekele,Female,1986-08-02,197.8,83.2,20
342,Flaviu Thomas,Male,2003-01-03,174.1,79.2,40
343,Anjali Okonkwo,Female,1998-01-10,203.4,94.9,60
344,George Kim,Male,2000-08-28,179.0,54.6,32
345,Camelia Kravchenko,Female,2008-05-27,192.1,61.2,14
346,Almaz Ito,Female,1994-12-21,197.4,88.2,25
347,Denys Meyer,Male,2004-10-02,183.2,81.8,18
348,Andrei Biles,Male,1990-03-18,160.6,69.4,26
349,Ivan Zhao,Male,1993-04-27,174.5,49.8,33
350,Yuna Romano,Female,2009-12-27,167.0,62.8,12
351,Susan Sokolov,Female,2006-01-26,169.2,81.7,27
352,Christopher Yang,Male,1982-12-09,183.7,59.0,19
353,Regzedmaa Fraser-Pryce,Male,2003-09-28,193.7,94.3,42
354,Mohammed Wang,Male,1994-06-23,166.1,71.3,37
355,Meseret Popov,Female,1982-02-27,182.8,70.9,22
356,Daniel Sharma,Male,2003-06-07,187.9,80.9,4
357,Magdalena Martirosyan,Female,2001-03-25,188.9,77.1,41
358,Michelle Romano,Female,1990-10-04,176.7,74.9,14
359,Ashley Okonkwo,Female,1995-06-28,188.8,86.2,17
360,Enkhjargal Bekele,Female,1991-11-16,164.0,65.5,50
361,Kevin Sharma,Male,1998-12-19,177.3,65.7,18
362,Hovhannes Greco,Male,2006-06-06,180.5,71.8,30
363,Constantin Kravchenko,Male,2006-12-22,164.9,78.9,6
364,Klaus Navruzov,Male,1997-04-20,178.7,76.2,39
365,Ayana Mammadov,Female,1999-04-14,184.6,75.6,15
366,Gabriela Martin,Female,1993-04-12,177.3,99.4,26
367,Henrik Nikitin,Male,2002-07-08,178.5,81.8,56
368,Elena Babayev,Female,2004-11-28,173.0,63.0,7
369,Lars Bekele,Male,1991-12-17,166.8,64.8,6
370,Ilham Bekele,Male,2003-03-04,183.5,47.0,48
371,Usukhbayar Thomas,Male,1984-03-12,188.2,85.8,53
372,Nigar Cherono,Female,1992-04-28,185.9,71.5,26
373,Hans Phelps,Male,1983-08-16,185.3,87.9,22
374,Andrei White,Male,1989-11-06,180.0,72.5,29
375,Christine Popescu,Female,1994-12-05,176.3,65.5,31
376,Elmar Lochte,Male,1995-04-09,169.9,69.7,3
377,Ashley Jung,Female,1987-04-07,188.7,83.2,53
378,Irina Popescu,Female,2002-06-19,200.9,112.8,11
379,Juan Kwon,Male,1994-06-20,183.9,53.7,35
380,Dafne Zhang,Female,2007-06-23,190.0,103.9,41
381,Justyna Hernandez,Female,1996-03-11,169.6,62.2,60
382,Susan Kowalczyk,Female,1998-12-18,167.8,99.7,42
383,Pierre Clark,Male,2002-08-22,172.3,92.2,7
384,Elaine Martin,Female,1990-11-01,168.9,99.5,25
385,Lisa Wanjiku,Female,2001-03-08,166.4,126.5,45
386,Diego Biles,Male,1983-06-17,183.6,58.6,23
387,Dafne Jung,Female,1989-11-23,177.0,61.3,35
388,Gabriela Jackson,Female,1992-02-02,179.4,59.4,62
389,Susan Bolt,Female,1996-12-10,194.0,99.9,39
390,Rahul Aliyev,Male,2009-01-13,188.4,72.1,23
391,Brian Jones,Male,2003-02-27,189.5,96.7,30
392,Carol Shevchenko,Female,1996-01-04,194.7,78.4,38
393,Jae-won Kowalski,Male,1996-08-24,178.8,70.4,7
394,Maxime Tashkentov,Male,1999-09-03,181.3,80.8,35
395,Tatiana Hakobyan,Female,2002-10-22,198.5,88.3,18
396,Svetlana Lochte,Female,1988-08-05,207.7,84.7,38
397,Hiroshi Sargsyan,Male,2008-02-11,172.0,73.6,40
398,Ondrej Jackson,Male,1995-08-27,198.3,122.3,26
399,Patrick Sharma,Male,1999-03-04,195.0,93.7,41
400,Patrick Kvinikadze,Male,1996-04-05,174.1,66.5,26
401,Zheng Wu,Male,1991-01-21,163.2,69.8,12
402,Akiko Romano,Female,2007-01-18,172.8,97.6,18
403,Irina Romano,Female,1986-07-17,168.6,81.0,61
404,Alejandro Bianchi,Male,2000-11-26,187.1,69.2,46
405,Tirunesh Phelps,Female,2007-01-14,177.1,87.4,33
406,Naira Yohannes,Female,1983-03-05,188.9,63.0,29
407,Steven Gupta,Male,1991-05-02,172.4,59.0,12
408,Mary Cherono,Female,1992-06-03,186.9,70.9,42
409,Leyla Kaminski,Female,2005-12-11,167.2,53.4,2
410,Simona Cherono,Female,1989-09-03,191.8,75.1,6
411,Bohdan Yuldashev,Male,1995-02-26,181.4,71.6,5
412,Franz Liu,Male,2004-05-25,193.4,78.0,27
413,Marta Singh,Female,1983-02-02,182.1,89.1,36
414,Josef Batjargal,Male,1991-11-04,164.6,80.4,9
415,Simona Popescu,Female,2008-01-27,183.0,63.4,45
416,Susan Tanaka,Female,1986-09-19,183.9,95.0,60
417,Sofia Schmidt,Female,1988-06-11,183.7,58.1,44
418,Flaviu Clark,Male,1992-01-27,170.7,61.2,37
419,Patricia Choi,Female,1986-01-25,183.8,97.3,54
420,James Sokolov,Male,1983-11-13,169.2,74.9,16
421,Magnus Davaadorj,Male,1982-04-17,193.0,79.2,13
422,Karolina Shah,Female,1993-01-24,163.1,52.7,42
423,Wei Sanchez,Male,2000-02-21,186.9,97.3,56
424,Nizami Robinson,Male,1985-10-20,192.3,72.0,4
425,Karen Kipchoge,Female,1988-01-18,188.3,62.0,12
426,Lela Fraser-Pryce,Female,1999-11-22,158.4,65.8,45
427,Laure Tadesse,Female,1994-12-20,173.0,73.1,12
428,Darya Oliveira,Female,2000-06-01,185.5,128.6,21
429,Iryna Sanchez,Female,1982-10-19,179.3,86.6,27
430,Lela Park,Female,2002-08-24,187.6,55.3,10
431,Susan Wilson,Female,2003-04-10,167.1,58.0,54
432,Luis Kim,Male,2000-08-08,166.8,86.5,27
433,Nino Schmidt,Female,2008-10-19,164.7,87.4,25
434,Wei Martirosyan,Male,1997-11-25,184.4,97.0,27
435,Alexei Choi,Male,2003-08-28,174.7,104.0,16
436,Tatiana Mirzayev,Female,2008-08-17,187.8,63.6,40
437,Monika Amiranashvili,Female,1992-11-03,156.5,74.0,35
438,Vasyl Huseynov,Male,2001-01-25,187.2,55.3,37
439,Tatiana Chikovani,Female,1991-09-25,188.2,72.2,5
440,Walter Williams,Male,1994-11-27,172.6,79.7,36
441,Karen Aliyev,Female,1997-04-16,173.1,93.0,38
442,Anna Kuznetsov,Female,2002-05-22,170.1,95.3,35
443,Paolo Kuznetsov,Male,2005-04-10,186.5,62.1,55
444,Hassan Sanchez,Male,1991-08-15,183.0,122.6,49
445,Elaine Okonkwo,Female,1988-03-23,185.1,60.9,39
446,Emily Kipchoge,Female,1993-06-14,164.8,64.7,42
